ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
0.54647654,0.427365,9.060258,-0.0031957934,-0.01571265,0.009321064,50.348,0.45854837,0.24074759,9.792965,0.089871585,0.18795142,-0.73283005,-0.007909,-0.025078,-0.709,0.0,24.38635,2017-10-02 13:34:54,-Infinity
0.56922144,0.45130703,9.060856,-0.004261058,-0.013582122,0.011984225,50.348,0.4538756,0.23451848,9.793334,0.115345836,0.21678855,-0.73247814,-0.007482,-0.02501,-0.69689,75.553535,24.38635,2017-10-02 13:34:55,26.37404246475751
0.5494693,0.43275195,9.033921,-0.0029294773,-0.014647386,0.00958738,50.348,0.44603786,0.23257793,9.79374,0.10343143,0.20017402,-0.75981903,-0.007653,-0.024488,-0.705565,75.553535,24.38635,2017-10-02 13:34:56,32.343269005064094
0.54527944,0.44113165,9.029732,-0.0031957934,-0.015446335,0.00958738,50.348,0.44652852,0.23434046,9.793676,0.09875092,0.20679119,-0.7639446,-0.007723,-0.024533,-0.708902,75.84075,24.38635,2017-10-02 13:34:57,34.92690561149542
0.55365914,0.40701428,9.073426,-0.0026631611,-0.015180019,0.008788432,50.348,0.4571335,0.23606667,9.793145,0.09652564,0.17094761,-0.71971893,-0.008045,-0.024977,-0.708904,75.84075,24.38635,2017-10-02 13:34:58,34.3568049291408
0.57161564,0.4381389,9.020754,-0.0013315806,-0.014114754,0.010652645,50.348,0.45499295,0.23302817,9.793318,0.07771695,0.20750493,-0.7372503,-0.008083,-0.024788,-0.709083,75.43743,24.38635,2017-10-02 13:34:59,40.381820373607184
0.55485624,0.4309563,9.045294,-0.0037284256,-0.015978966,0.010918961,50.348,0.44909492,0.2346394,9.793551,0.10157147,0.20050675,-0.7207241,-0.007812,-0.024634,-0.709097,75.43743,24.38635,2017-10-02 13:35:00,31.24565354327226
0.5614403,0.43275195,9.057265,-0.0013315806,-0.014647386,0.010386328,50.348,0.4506064,0.23802793,9.7934,0.107841134,0.19292837,-0.72296715,-0.007745,-0.024811,-0.709097,75.43743,24.38635,2017-10-02 13:35:01,23.487185116321033
0.5410896,0.42676646,9.065644,-0.002130529,-0.013315806,0.011185277,50.3976,0.45208064,0.23554914,9.793392,0.094395906,0.18702747,-0.75408363,-0.007879,-0.024777,-0.708857,76.230354,24.38635,2017-10-02 13:35:02,26.593634772323142
0.5470751,0.45669398,9.059659,-0.0039947415,-0.016777916,0.010120012,50.3976,0.45127413,0.23664899,9.793403,0.100589365,0.22004499,-0.7271595,-0.0078,-0.024791,-0.708565,76.230354,24.38635,2017-10-02 13:35:03,34.35277513610659
0.5566519,0.43514615,9.03871,-0.002396845,-0.015180019,0.00958738,50.348,0.44679752,0.23066695,9.793751,0.10985437,0.2044792,-0.7550411,-0.007769,-0.024342,-0.708797,76.230354,24.38635,2017-10-02 13:35:04,17.5184021839967
