ACC_X,ACC_Y,ACC_Z,TIME,VOICE
3.1124623,3.0538042,-8.559271,2017-09-23 15:33:47,69.20074018899231
3.1064768,3.0430303,-8.558074,2017-09-23 15:33:48,71.52623189017834
3.0897174,3.0466216,-8.634688,2017-09-23 15:33:49,65.04785232645305
3.1028855,3.0466216,-8.655039,2017-09-23 15:33:50,64.01921422330244
3.145981,3.0430303,-8.8645315,2017-09-23 15:33:52,58.85942941435477
3.1160536,3.0502129,-8.611943,2017-09-23 15:33:53,64.90810595220937
3.1040826,3.0466216,-8.615535,2017-09-23 15:33:54,70.24225390551317
3.1172507,3.0573955,-8.60117,2017-09-23 15:33:55,55.98074830549112
3.072958,3.015497,-8.651448,2017-09-23 15:33:56,65.08737889709693
3.1028855,3.0382419,-8.571242,2017-09-23 15:33:57,70.4029902272997
3.1112652,3.0430303,-8.607155,2017-09-23 15:33:58,69.86541088545545
3.157952,3.0334535,-8.593987,2017-09-23 15:33:59,66.83405306698057
3.1304188,3.0418332,-8.641871,2017-09-23 15:34:00,68.28432253628273
3.1136594,3.0573955,-8.549694,2017-09-23 15:34:01,61.768277604165704
3.1040826,3.015497,-8.567651,2017-09-23 15:34:02,67.85567358495861
3.1184478,3.0705638,-8.719683,2017-09-23 15:34:03,56.37185034871128
3.1064768,3.0382419,-8.607155,2017-09-23 15:34:04,67.04654725526855
3.1292217,3.0813377,-8.7125,2017-09-23 15:34:05,66.53260350336647
3.1112652,3.0454245,-8.604761,2017-09-23 15:34:06,71.25264326112745
3.120842,3.052607,-8.560468,2017-09-23 15:34:07,70.88562331881329
3.1136594,3.0370448,-8.598776,2017-09-23 15:34:08,70.17631557220139
3.0945058,3.0262709,-8.517372,2017-09-23 15:34:09,67.49782439641892
3.1136594,3.0561984,-8.53054,2017-09-23 15:34:10,71.69469702038063
3.1064768,3.0561984,-8.616732,2017-09-23 15:34:11,68.95527625873909
3.086126,3.0119057,-8.60117,2017-09-23 15:34:12,59.63168020713737
3.1232362,3.0466216,-8.626308,2017-09-23 15:34:13,62.570759208693865
3.1112652,3.0478187,-8.596381,2017-09-23 15:34:14,65.31451943643299
3.0921116,3.0298622,-8.671799,2017-09-23 15:34:15,64.51913708892812
3.0921116,3.0430303,-8.577228,2017-09-23 15:34:16,67.80663499442801
3.108871,3.0454245,-8.632295,2017-09-23 15:34:17,52.3666308458934
3.1399956,3.0550013,-8.698134,2017-09-23 15:34:18,52.08968569054011
3.1555579,3.0789435,-8.690952,2017-09-23 15:34:19,50.91402223230037
3.1268275,3.0250738,-8.565256,2017-09-23 15:34:20,62.53118604089308
3.108871,3.0478187,-8.683769,2017-09-23 15:34:21,69.24332087761498
3.1052797,3.0478187,-8.656237,2017-09-23 15:34:22,72.17317540949594
3.0933087,3.0693667,-8.64666,2017-09-23 15:34:23,63.37520696822569
3.1196449,3.083732,-8.637083,2017-09-23 15:34:24,61.85365227656955
3.107674,3.0238767,-8.506598,2017-09-23 15:34:25,64.36854031774214
3.0873232,3.0502129,-8.66701,2017-09-23 15:34:26,62.92333973212457
3.122039,3.0442274,-8.65863,2017-09-23 15:34:27,63.89786258964139
3.108871,3.098097,-8.652645,2017-09-23 15:34:28,67.17204771010529
3.1028855,3.0334535,-8.526949,2017-09-23 15:34:29,68.79552221317624
3.0921116,3.0430303,-8.534132,2017-09-23 15:34:30,69.81435756720217
3.1292217,3.0466216,-8.774749,2017-09-23 15:34:31,58.09831879794235
3.1184478,3.0490158,-8.627506,2017-09-23 15:34:32,69.62567206636335
3.107674,3.0585926,-8.568848,2017-09-23 15:34:33,69.72346801164397
3.1160536,3.0334535,-8.593987,2017-09-23 15:34:34,52.092005272945904
3.1124623,3.0573955,-8.605958,2017-09-23 15:34:35,65.03903442033406
3.1112652,3.0502129,-8.577228,2017-09-23 15:34:36,71.0040084730255
3.1040826,3.0370448,-8.644265,2017-09-23 15:34:37,69.39063477084359
3.0992942,3.0538042,-8.622718,2017-09-23 15:34:38,63.805879912903336
3.1256304,3.0442274,-8.610746,2017-09-23 15:34:39,64.01146550202486
3.0777464,3.052607,-8.467094,2017-09-23 15:34:40,56.09869452535665
3.1196449,3.0382419,-8.585608,2017-09-23 15:34:41,68.04280875017618
3.122039,3.0538042,-8.613141,2017-09-23 15:34:42,70.03408842860503
3.1387985,3.052607,-8.7125,2017-09-23 15:34:43,63.04214498277208
3.1651347,3.0262709,-8.479065,2017-09-23 15:34:44,67.83667519516955
3.1304188,3.040636,-8.6095495,2017-09-23 15:34:45,68.73665546857166
3.122039,3.0430303,-8.506598,2017-09-23 15:34:46,62.03549865993396
3.1136594,3.0454245,-8.632295,2017-09-23 15:34:47,70.02705134371473
3.132813,3.0621839,-8.574833,2017-09-23 15:34:48,64.47003402010462
3.1124623,3.052607,-8.689755,2017-09-23 15:34:49,65.98312989264247
3.0921116,3.0490158,-8.653842,2017-09-23 15:34:50,70.6083902076052
3.1735144,3.0885203,-8.819042,2017-09-23 15:34:51,70.90563877807388
3.1172507,3.0490158,-8.626308,2017-09-23 15:34:52,67.80292741599415
3.1232362,3.0298622,-8.63828,2017-09-23 15:34:53,51.179290611256505
3.107674,3.0538042,-8.597578,2017-09-23 15:34:54,51.784609296395885
3.1040826,3.0346506,-8.635885,2017-09-23 15:34:55,64.51407287229915
3.108871,3.0430303,-8.567651,2017-09-23 15:34:56,67.02707629454736
3.1292217,3.040636,-8.62152,2017-09-23 15:34:57,51.48322194869499
3.1136594,3.0502129,-8.574833,2017-09-23 15:34:58,64.68710974998807
3.1244333,3.0382419,-8.619126,2017-09-23 15:34:59,68.24631975288297
3.1256304,3.039439,-8.634688,2017-09-23 15:35:00,67.41590460164369
3.108871,3.0358477,-8.590396,2017-09-23 15:35:01,63.770170445120435
3.1232362,3.0538042,-8.595184,2017-09-23 15:35:02,69.65777832505243
3.122039,3.052607,-8.561666,2017-09-23 15:35:03,70.57233040655791
3.1160536,3.052607,-8.567651,2017-09-23 15:35:04,64.23828530423197
3.120842,3.039439,-8.626308,2017-09-23 15:35:05,70.20650460262755
3.1112652,3.052607,-8.558074,2017-09-23 15:35:06,66.0620022002181
3.072958,3.0322564,-8.562862,2017-09-23 15:35:07,67.50675956295444
3.1364043,3.0430303,-8.614338,2017-09-23 15:35:08,67.70596110936273
3.122039,3.0382419,-8.548497,2017-09-23 15:35:09,51.25141464092558
3.0969,3.039439,-8.534132,2017-09-23 15:35:10,68.09901309732572
3.108871,3.0322564,-8.598776,2017-09-23 15:35:11,71.54821984717357
3.1064768,3.0538042,-8.568848,2017-09-23 15:35:12,68.82525534753489
3.110068,3.0358477,-8.616732,2017-09-23 15:35:13,66.63351535225083
3.0945058,3.0657754,-8.761581,2017-09-23 15:35:14,65.7584927984307
3.1028855,3.0310593,-8.639477,2017-09-23 15:35:15,70.71160278513472
3.107674,3.0382419,-8.571242,2017-09-23 15:35:16,65.94994580611558
3.1160536,3.0573955,-8.64666,2017-09-23 15:35:17,68.96122453322765
3.1352072,3.052607,-8.566454,2017-09-23 15:35:18,66.52981111157953
3.1387985,3.0454245,-8.572439,2017-09-23 15:35:19,67.26687605858596
3.132813,3.0478187,-8.62152,2017-09-23 15:35:21,68.59170891340187
3.1196449,3.0478187,-8.872911,2017-09-23 15:35:22,65.75573928972241
3.1124623,3.0442274,-8.578424,2017-09-23 15:35:23,50.778941343309484
3.0945058,3.0573955,-8.676587,2017-09-23 15:35:24,64.3402906503899
3.1268275,3.0430303,-8.577228,2017-09-23 15:35:25,70.066130380857
3.1376014,3.0478187,-8.572439,2017-09-23 15:35:26,61.20069754766686
3.110068,3.039439,-8.619126,2017-09-23 15:35:27,65.27095044511316
3.1184478,3.0322564,-8.615535,2017-09-23 15:35:28,67.01892162835689
3.0992942,3.028665,-8.627506,2017-09-23 15:35:29,67.39699611931468
3.1483753,3.064578,-8.696938,2017-09-23 15:35:30,70.81027046845507
3.132813,3.071761,-8.699332,2017-09-23 15:35:31,63.11852627985551
3.1124623,3.0490158,-8.611943,2017-09-23 15:35:32,65.51014007651459
3.1148565,3.0466216,-8.637083,2017-09-23 15:35:33,51.56780471155941
3.1160536,3.0310593,-8.593987,2017-09-23 15:35:34,50.639967100975305
3.1040826,3.0418332,-8.669404,2017-09-23 15:35:35,64.41221650766822
3.1411927,3.1268275,-8.863335,2017-09-23 15:35:36,69.62957705735535
3.122039,3.0561984,-8.577228,2017-09-23 15:35:37,69.43422753541844
3.1256304,3.05141,-8.522161,2017-09-23 15:35:38,69.77569808169852
3.1148565,3.0334535,-8.6095495,2017-09-23 15:35:39,62.912680397189305
3.1376014,3.0095115,-8.572439,2017-09-23 15:35:40,60.67773525356412
3.1232362,3.0478187,-8.588001,2017-09-23 15:35:41,64.87651109568796
3.1256304,3.027468,-8.578424,2017-09-23 15:35:42,60.539817061839386
3.1280246,3.0418332,-8.450335,2017-09-23 15:35:43,68.50936007947156
3.1376014,3.0478187,-8.64666,2017-09-23 15:35:44,58.99010506572901
