ACC_X,ACC_Y,ACC_Z,TIME,VOICE
1.532289,-0.0,9.653421,2017-05-23 09:27:43,-Infinity
1.532289,-0.0,9.80665,2017-05-23 09:27:44,-Infinity
1.532289,-0.0,9.653421,2017-05-23 09:27:46,50.947638915606234
1.532289,-0.0,9.653421,2017-05-23 09:27:47,59.63364133566057
1.532289,-0.0,9.653421,2017-05-23 09:27:49,59.73729247659902
1.532289,-0.0,9.80665,2017-05-23 09:27:50,78.74162427075417
1.3790601,-0.0,9.80665,2017-05-23 09:27:51,73.86811308235748
1.3790601,-0.0,9.80665,2017-05-23 09:27:52,75.42221290278648
1.3790601,-0.0,9.959879,2017-05-23 09:27:54,75.51184215865464
1.3790601,-0.0,9.80665,2017-05-23 09:27:56,70.44450601069882
1.532289,-0.0,9.653421,2017-05-23 09:27:57,83.2808944827376
1.532289,-0.0,9.959879,2017-05-23 09:27:59,80.54437555371491
1.532289,-0.0,9.653421,2017-05-23 09:28:00,81.26104689915073
1.3790601,-0.0,9.80665,2017-05-23 09:28:01,84.42417008128496
1.3790601,-0.0,9.80665,2017-05-23 09:28:02,80.77000456831428
1.532289,-0.0,9.653421,2017-05-23 09:28:04,69.09522206174049
1.532289,-0.0,9.653421,2017-05-23 09:28:05,80.90970936987091
1.532289,-0.0,9.653421,2017-05-23 09:28:06,66.9141704511581
1.532289,-0.0,9.80665,2017-05-23 09:28:07,78.15610998523093
1.532289,-0.0,9.653421,2017-05-23 09:28:08,79.54624632697961
1.532289,-0.0,9.653421,2017-05-23 09:28:09,71.05236750973168
1.532289,-0.0,9.80665,2017-05-23 09:28:10,76.0681049311987
1.532289,-0.0,9.653421,2017-05-23 09:28:12,77.30925556162032
1.532289,-0.0,9.80665,2017-05-23 09:28:13,84.25555026828869
1.532289,-0.0,9.653421,2017-05-23 09:28:14,82.48495928085178
1.532289,-0.0,9.80665,2017-05-23 09:28:15,82.6864330834354
1.532289,-0.0,9.653421,2017-05-23 09:28:16,73.26749232097205
1.532289,-0.0,9.653421,2017-05-23 09:28:18,81.92247319827017
1.532289,-0.0,9.959879,2017-05-23 09:28:20,83.7414782475878
1.532289,-0.0,9.653421,2017-05-23 09:28:21,82.81169206311661
1.532289,-0.0,9.193734,2017-05-23 09:28:22,73.63102933081234
1.532289,-0.0,10.113108,2017-05-23 09:28:23,58.40224306836103
1.532289,-0.0,9.500193,2017-05-23 09:28:24,63.2336099240909
1.532289,-0.0,9.653421,2017-05-23 09:28:26,58.10646656569033
1.3790601,-0.0,9.959879,2017-05-23 09:28:27,83.64820028130679
1.532289,-0.0,9.500193,2017-05-23 09:28:28,86.16198788310022
1.3790601,-0.0,9.80665,2017-05-23 09:28:29,83.86552155604116
1.3790601,-0.0,9.80665,2017-05-23 09:28:30,83.04835894226241
1.532289,-0.0,9.653421,2017-05-23 09:28:32,62.70693419112697
1.532289,-0.0,10.113108,2017-05-23 09:28:33,82.79472797956764
1.532289,-0.0,9.653421,2017-05-23 09:28:35,85.8480590570095
1.532289,-0.0,9.80665,2017-05-23 09:28:36,83.14586132170412
1.532289,-0.0,9.500193,2017-05-23 09:28:37,83.61095333923566
1.3790601,-0.0,9.80665,2017-05-23 09:28:39,83.90426963354038
1.532289,-0.0,9.959879,2017-05-23 09:28:40,78.03112818635798
1.3790601,-0.0,9.80665,2017-05-23 09:28:41,85.38179723948195
1.3790601,-0.0,9.80665,2017-05-23 09:28:42,80.92769053373537
1.532289,-0.0,9.653421,2017-05-23 09:28:43,74.349720212524
1.3790601,-0.0,9.80665,2017-05-23 09:28:45,59.120252916910154
1.3790601,-0.0,9.959879,2017-05-23 09:28:46,78.1804775872873
