ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.3215994,0.08619126,9.835381,0.0046485965,-9.369226E-4,0.043139566,1.2987704,0.09748118,9.719779,0.04964404,-0.029379448,0.10049163,0.066331536,-0.0054208227,0.9855954,2017-05-26 10:54:57,76.29882085138536
1.3503298,0.11492168,9.720459,0.013635441,0.0044936547,0.086710416,1.3087978,0.096055076,9.718449,-0.0012444861,-0.014332984,0.07458188,0.0668139,-0.0057462207,0.98515517,2017-05-26 10:54:58,63.04441633905307
1.2449849,0.10534488,9.797073,-0.0061873356,0.008098114,-0.048001766,1.3130591,0.1001343,9.717831,-0.046366878,0.022448823,0.088819064,0.06708319,-0.005326291,0.9857186,2017-05-26 10:54:59,64.7860257994426
1.340753,0.1436521,9.77792,-0.0016535308,-0.002658752,0.011543312,1.3142912,0.09282579,9.717737,-0.0067378487,-0.024724055,0.007190918,0.06707961,-0.005800233,0.98549616,2017-05-26 10:55:00,69.37073677007805
1.340753,0.05746084,9.797073,-5.643817E-4,-0.013291902,-0.0037069845,1.3282089,0.09176149,9.715855,-0.047896296,0.0035809434,0.09079594,0.06775762,-0.0061803907,0.9849493,2017-05-26 10:55:01,67.42162631192315
1.3120226,0.10534488,9.720459,0.009427873,-0.0030117114,0.06212734,1.3009511,0.08973405,9.719561,0.047463283,-0.021632312,0.10070944,0.06638902,-0.005728899,0.9858238,2017-05-26 10:55:02,69.03694050161656
1.3120226,0.12449849,9.816227,6.3349237E-4,0.0013096003,0.023876524,1.3105371,0.09178542,9.718255,0.010636636,0.0035570106,0.04753405,0.06689147,-0.0057003293,0.98579264,2017-05-26 10:55:03,64.75512951122816
1.292869,0.095768064,9.797073,-7.5668865E-4,0.007915136,-0.011292163,1.3026295,0.0935318,9.7193,0.018544152,-0.025430059,0.0328679,0.066443846,-0.0062310495,0.9841891,2017-05-26 10:55:04,55.65900280461445
1.3215994,0.11492168,9.710882,-4.4190424E-4,0.0010360382,-0.019498745,1.2960461,0.08970911,9.720216,-0.01573346,-0.035227723,0.018332269,0.066120796,-0.0059112483,0.98532295,2017-05-26 10:55:05,58.51263383600389
1.3120226,0.10534488,9.787497,-0.0013244159,0.0022810632,-0.03264854,1.3102373,0.09301669,9.718284,-0.0026839166,0.0023257476,0.04750578,0.0668492,-0.006056526,0.984805,2017-05-26 10:55:06,49.64131291598783
1.3120226,0.08619126,9.739613,-0.0029141002,9.470795E-4,-0.022696521,1.3125768,0.10132341,9.717884,0.008596889,-0.005980978,0.061525166,0.0670454,-0.0055449386,0.9850609,2017-05-26 10:55:07,53.44562746250997
1.3215994,0.06703765,9.816227,-0.012316504,1.0537145E-4,-0.053852186,1.3223778,0.10111581,9.7165575,-0.055685453,-0.03301407,0.10371299,0.067529276,-0.005767802,0.9847142,2017-05-26 10:55:08,50.89278817003606
1.3215994,0.08619126,9.873688,0.0041569457,-0.0045497823,0.024611982,1.3063933,0.102945976,9.7187,0.014780455,-0.007603545,0.04708846,0.06676324,-0.0051854737,0.9856156,2017-05-26 10:55:09,58.00414869637079
1.3215994,0.08619126,9.662998,0.005683787,-0.0012584405,0.06561513,1.3123152,0.08986461,9.718033,0.008858442,0.0054778145,0.06137719,0.06691922,-0.0063325684,0.9845584,2017-05-26 10:55:10,52.606273748082586
1.3024458,0.10534488,9.77792,4.0286095E-4,0.009715845,0.008504885,1.3022623,0.10192021,9.719266,-0.008329308,0.020662915,0.073763855,0.06651725,-0.005554894,0.9847985,2017-05-26 10:55:11,49.507680449393625
1.4173675,0.038307227,10.103531,-2.3184383E-4,-0.018444307,-0.010618347,1.2983012,0.10506794,9.719763,0.050113115,-0.13230863,-0.21275973,0.06634037,-0.0053894455,0.9847483,2017-05-26 10:55:12,50.44279063827956
1.3120226,0.06703765,9.77792,0.002960045,0.0053348746,0.06299383,1.3130448,0.09946288,9.71784,0.03536955,-0.004120451,0.08880992,0.067050606,-0.005682398,0.9849655,2017-05-26 10:55:13,51.7542429514991
1.2545617,0.095768064,9.797073,-1.596746E-4,0.0039074887,-0.017846351,1.304758,0.09052457,9.719045,0.016415766,0.00481787,0.07398582,0.06657283,-0.0058969324,0.98539597,2017-05-26 10:55:14,52.20560419625363
1.3311762,0.11492168,9.797073,-0.0086054765,-0.0012301143,-0.051866118,1.3041819,0.09157253,9.719111,0.030612113,0.031010596,0.060298137,0.06655843,-0.0057661803,0.98556924,2017-05-26 10:55:15,52.72136389810264
1.3311762,0.06703765,9.80665,-0.0,-0.0,0.0,1.3003738,0.096370146,9.719575,-0.06092225,-0.028268408,0.08707495,0.066381186,-0.0057585975,0.98495245,2017-05-26 10:55:16,51.34669286080584
1.292869,0.10534488,9.691729,-0.0069321645,-0.006174525,-0.059077147,1.294833,0.098107584,9.720298,-0.041760944,0.024475548,-0.06347129,0.06608765,-0.005934469,0.9842149,2017-05-26 10:55:17,55.833334283205716
1.3120226,0.08619126,9.816227,0.01519456,0.00874987,0.10553089,1.297643,0.09863155,9.719918,-0.01733032,-0.016909465,0.045871407,0.06627059,-0.0055117276,0.9852255,2017-05-26 10:55:18,58.114819417727745
1.292869,0.11492168,9.758766,0.0012395339,-0.007434959,-0.006209055,1.29952,0.09621102,9.71969,0.008033357,0.026372101,0.032478012,0.06631322,-0.0060231057,0.98431426,2017-05-26 10:55:19,57.26569804774074
1.3215994,0.10534488,9.77792,0.0050526517,-0.0045081084,-0.026778497,1.2907585,0.099253885,9.720828,0.0031744994,0.023329241,0.044961113,0.06591863,-0.0055221114,0.9850139,2017-05-26 10:55:20,59.13753339890852
1.292869,0.076614454,9.758766,-0.0029719314,0.0077974387,-0.028083362,1.303828,0.10335863,9.719041,0.0173457,0.005604156,0.0331281,0.066605516,-0.0055304207,0.9847081,2017-05-26 10:55:21,57.869399148028705
1.3503298,0.05746084,9.768343,0.009016607,0.004429239,0.04136504,1.3048183,0.10240237,9.718917,-0.024505652,-0.0070599397,0.10135371,0.06668379,-0.0051389867,0.9857634,2017-05-26 10:55:22,56.27459366438607
1.3024458,0.095768064,9.825804,-0.0133516565,-0.013102388,-0.07740818,1.2924044,0.09249353,9.720676,0.028769284,0.016469255,0.072353944,0.065956414,-0.0057672705,0.9852726,2017-05-26 10:55:23,57.35864502005355
1.340753,0.05746084,9.80665,0.0,0.0,0.0,1.2959716,0.0991826,9.720135,0.025201986,-0.031080855,0.059274778,0.06621372,-0.005180036,0.98591375,2017-05-26 10:55:24,55.08965742933333
1.283292,0.076614454,9.797073,0.0029731048,0.002155746,-0.009048804,1.2915498,0.09007745,9.720812,-0.038477857,0.005264977,0.04497691,0.06588395,-0.00598892,0.98501956,2017-05-26 10:55:25,53.57720486208716
1.3120226,0.1340753,9.739613,-0.010211466,-0.003238681,-0.06294609,1.3054544,0.09784369,9.71888,0.029339673,-0.0161216,0.08777077,0.0666718,-0.00547461,0.98552907,2017-05-26 10:55:26,56.176901926573706
1.340753,0.10534488,9.77792,-0.0018869846,-0.0031135527,-0.029477017,1.2988818,0.08863526,9.719848,0.04953265,0.0067071742,0.073181935,0.06625042,-0.0060480153,0.9851715,2017-05-26 10:55:27,58.10527541370347
1.3215994,0.06703765,9.730036,0.0,0.0,0.0,1.3031104,0.09022959,9.719268,-0.009177358,-0.022127856,0.019280806,0.06647769,-0.006001822,0.9851572,2017-05-26 10:55:28,58.11638080385397
1.3215994,0.06703765,9.797073,-4.2428804E-4,-0.0034182167,-0.0034608713,1.2788032,0.08266577,9.722563,0.02875006,0.039917357,0.12494823,0.06518706,-0.006159402,0.98530483,2017-05-26 10:55:29,57.3468561981811
1.292869,0.12449849,9.758766,0.0014082958,0.0033770008,0.0058563035,1.2866256,0.09030691,9.721462,-0.019933287,0.005035526,0.112428546,0.0656807,-0.0054245708,0.986249,2017-05-26 10:55:30,56.906217818141805
1.3311762,0.095768064,9.80665,-0.015164592,-0.009874172,-0.08545161,1.2922192,0.08486573,9.720769,0.028954461,0.010476705,0.07226083,0.06588539,-0.0061501376,0.9852763,2017-05-26 10:55:31,60.35272702084545
1.3215994,0.10534488,9.797073,0.009260144,0.0071372394,0.017784966,1.3098229,0.103121325,9.718237,0.011350741,-0.0077788956,0.11565407,0.066930965,-0.0053007165,0.98537856,2017-05-26 10:55:32,55.45351591480351
1.3311762,0.15322891,9.691729,-0.001476615,-0.0034334133,0.0031421552,1.2842953,0.09337021,9.721742,0.023258047,0.015592576,0.07128819,0.06557207,-0.005426486,0.98584867,2017-05-26 10:55:33,59.72330192592526
