ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TIME,VOICE
1.3790601,5.5162406,8.121132,-0.022348728,0.55978245,-0.5193419,76.0,2017-06-09 19:02:49,45.89733516775162
-1.0726024,-6.129156,11.798626,-0.053211257,1.8815501,2.028413,0.0,2017-06-09 19:02:50,31.704695205748333
0.30645782,-1.532289,10.879252,0.9556742,-0.3267171,-0.23519376,0.0,2017-06-09 19:02:51,49.87663016269273
-0.15322891,-0.15322891,9.653421,0.011706477,-0.012770702,0.09045914,3.0,2017-06-09 19:02:52,55.708213064778526
0.0,0.0,9.80665,-0.0031926755,-0.0042569004,-0.0031926755,4.0,2017-06-09 19:02:53,55.04958614743788
0.0,0.0,9.653421,0.0042569004,-0.005321126,-0.0010642251,4.0,2017-06-09 19:02:54,54.63072025637024
0.0,0.0,9.653421,-0.0,-0.0010642251,-0.0031926755,4.0,2017-06-09 19:02:55,43.939084731482644
0.0,0.0,9.80665,0.0010642251,-0.005321126,0.0010642251,4.0,2017-06-09 19:02:56,13.392029179909873
0.0,0.0,9.80665,0.0010642251,-0.008513801,-0.0042569004,4.0,2017-06-09 19:02:57,48.30048244304223
0.0,0.15322891,9.653421,-0.0010642251,-0.006385351,-0.0042569004,4.0,2017-06-09 19:02:58,55.09156093141806
0.0,0.0,9.653421,-0.0010642251,-0.0021284502,-0.0031926755,4.0,2017-06-09 19:02:59,44.88921899591435
0.0,0.0,9.80665,-0.0,-0.0031926755,-0.0031926755,4.0,2017-06-09 19:03:00,17.19244944415617
0.0,0.0,9.653421,0.0010642251,-0.0021284502,-0.0010642251,4.0,2017-06-09 19:03:02,53.87835065065097
0.0,0.0,9.653421,0.0010642251,-0.0042569004,-0.0021284502,4.0,2017-06-09 19:03:03,52.83413793272202
0.0,0.0,9.80665,-0.0,-0.005321126,0.0021284502,4.0,2017-06-09 19:03:04,55.414322911071714
0.0,0.0,9.653421,-0.005321126,-0.0021284502,-0.0042569004,4.0,2017-06-09 19:03:05,54.13971387862751
0.0,0.0,9.80665,0.007449576,-0.0031926755,-0.0031926755,4.0,2017-06-09 19:03:06,56.32892370458321
0.0,0.0,9.80665,-0.005321126,-0.005321126,-0.0031926755,4.0,2017-06-09 19:03:07,19.008107564218154
0.0,0.0,9.653421,0.0010642251,-0.007449576,-0.0021284502,4.0,2017-06-09 19:03:08,53.6819875385931
0.0,0.0,9.80665,0.0042569004,-0.0021284502,-0.0031926755,4.0,2017-06-09 19:03:09,47.113307899019816
0.0,0.0,9.653421,-0.0042569004,0.0010642251,-0.009578027,4.0,2017-06-09 19:03:10,11.953806786586858
0.0,0.0,9.80665,-0.0,-0.0031926755,0.0010642251,4.0,2017-06-09 19:03:11,49.17147224211284
0.0,0.0,9.653421,-0.0021284502,-0.0042569004,-0.0031926755,4.0,2017-06-09 19:03:12,12.608164464658078
0.0,0.0,9.653421,-0.0010642251,-0.0021284502,-0.0042569004,4.0,2017-06-09 19:03:13,54.390556703819364
0.0,0.0,9.80665,-0.0,0.0021284502,-0.0031926755,4.0,2017-06-09 19:03:14,50.35211919244455
0.0,0.0,9.653421,-0.0021284502,-0.0010642251,-0.0021284502,4.0,2017-06-09 19:03:15,49.41925249988287
0.0,0.0,9.653421,0.0021284502,-0.006385351,-0.0021284502,4.0,2017-06-09 19:03:16,14.032992946858974
0.0,0.0,9.80665,-0.005321126,-0.009578027,-0.0031926755,4.0,2017-06-09 19:03:17,34.45362861515843
0.0,0.0,9.653421,0.0031926755,-0.0031926755,-0.0,4.0,2017-06-09 19:03:18,25.72678023199324
0.0,0.0,9.80665,-0.0,-0.007449576,-0.0031926755,4.0,2017-06-09 19:03:19,17.20090362302248
0.0,0.0,9.653421,-0.0,-0.0031926755,-0.0010642251,4.0,2017-06-09 19:03:20,14.496712047318871
0.0,0.0,9.80665,-0.0031926755,-0.0010642251,-0.0021284502,4.0,2017-06-09 19:03:21,54.33868222204996
0.0,0.0,9.653421,-0.0031926755,-0.005321126,0.0010642251,4.0,2017-06-09 19:03:22,53.89079630477439
0.0,0.0,9.653421,-0.0,-0.0031926755,-0.0021284502,3.0,2017-06-09 19:03:23,46.52928400314069
0.0,0.0,9.653421,-0.0010642251,-0.0010642251,-0.0021284502,5.0,2017-06-09 19:03:24,49.26353091598387
0.0,0.0,9.653421,-0.0031926755,-0.012770702,-0.0010642251,4.0,2017-06-09 19:03:25,49.979585765805055
0.0,0.0,9.653421,-0.0010642251,-0.010642252,-0.0021284502,4.0,2017-06-09 19:03:26,9.33761377149001
0.0,0.0,9.653421,-0.0031926755,-0.0042569004,-0.0021284502,5.0,2017-06-09 19:03:27,10.699608572127659
0.0,0.0,9.653421,-0.0021284502,-0.007449576,-0.0031926755,4.0,2017-06-09 19:03:28,11.787971524316061
0.0,0.0,9.653421,-0.0,-0.0021284502,-0.005321126,5.0,2017-06-09 19:03:29,55.96083055060084
0.0,0.0,9.80665,-0.0031926755,-0.0021284502,-0.0031926755,5.0,2017-06-09 19:03:30,43.82057474229857
0.0,0.0,9.80665,-0.0021284502,-0.010642252,-0.0,4.0,2017-06-09 19:03:31,38.59441411733565
0.0,0.0,9.653421,0.0021284502,-0.008513801,-0.005321126,5.0,2017-06-09 19:03:32,13.698726794020143
0.0,0.0,9.80665,-0.0010642251,-0.006385351,-0.0021284502,5.0,2017-06-09 19:03:33,46.74756035795136
0.0,0.0,9.80665,-0.0010642251,-0.0042569004,-0.007449576,5.0,2017-06-09 19:03:34,35.68070878036089
0.0,0.0,9.80665,-0.0021284502,-0.005321126,-0.0031926755,5.0,2017-06-09 19:03:35,15.685439384566637
0.0,0.0,9.653421,-0.0031926755,-0.0010642251,-0.0,5.0,2017-06-09 19:03:36,15.671489477969239
0.0,0.0,9.80665,-0.006385351,-0.006385351,-0.0,5.0,2017-06-09 19:03:37,51.24287485419024
0.0,0.0,9.80665,-0.006385351,-0.0021284502,-0.0021284502,5.0,2017-06-09 19:03:38,14.379486446855793
0.0,0.0,9.80665,0.0021284502,-0.005321126,-0.0031926755,5.0,2017-06-09 19:03:39,53.682282039095135
0.0,0.0,9.80665,0.0010642251,-0.0021284502,-0.0,5.0,2017-06-09 19:03:40,13.068716028927646
0.0,0.0,9.653421,0.0021284502,-0.006385351,-0.0031926755,5.0,2017-06-09 19:03:41,54.42666277043614
0.0,0.0,9.80665,0.0021284502,-0.008513801,-0.0010642251,5.0,2017-06-09 19:03:42,14.212953694984833
0.0,0.0,9.80665,0.0010642251,-0.0021284502,-0.0010642251,5.0,2017-06-09 19:03:43,14.394971681673557
0.0,0.0,9.80665,-0.0010642251,-0.006385351,-0.006385351,5.0,2017-06-09 19:03:44,51.13258088245815
0.0,0.0,9.653421,0.0010642251,0.0010642251,-0.0031926755,5.0,2017-06-09 19:03:45,12.062072628743666
0.0,0.0,9.80665,-0.0042569004,-0.0042569004,-0.0031926755,5.0,2017-06-09 19:03:46,13.494798919848748
0.0,0.0,9.80665,-0.007449576,-0.006385351,-0.005321126,5.0,2017-06-09 19:03:47,13.403201546617677
0.0,0.0,9.80665,-0.0021284502,-0.0021284502,-0.0031926755,5.0,2017-06-09 19:03:49,47.28279651367952
0.0,0.0,9.653421,-0.0031926755,-0.005321126,-0.0010642251,5.0,2017-06-09 19:03:50,11.788570923229308
0.0,0.0,9.80665,-0.0031926755,-0.0042569004,-0.0021284502,5.0,2017-06-09 19:03:51,37.55880570035975
0.0,0.0,9.653421,-0.0042569004,0.0010642251,-0.006385351,5.0,2017-06-09 19:03:52,16.85517817750743
0.0,0.0,9.80665,-0.0021284502,-0.0021284502,-0.005321126,5.0,2017-06-09 19:03:53,32.07881106506769
0.0,0.0,9.80665,-0.0031926755,-0.009578027,-0.0042569004,5.0,2017-06-09 19:03:54,10.526779136368036
0.0,0.0,9.80665,-0.0031926755,-0.0031926755,-0.0042569004,5.0,2017-06-09 19:03:55,16.40853955490963
0.0,0.0,9.653421,-0.0031926755,-0.005321126,-0.0042569004,5.0,2017-06-09 19:03:56,33.38148011748115
0.0,0.0,9.80665,-0.006385351,-0.011706477,-0.0010642251,5.0,2017-06-09 19:03:57,44.35772488386093
0.0,0.0,9.653421,-0.0021284502,-0.0031926755,-0.0,5.0,2017-06-09 19:03:58,48.33984945427388
0.0,0.0,9.653421,-0.0,-0.007449576,-0.0010642251,5.0,2017-06-09 19:03:59,12.353179819255267
0.0,0.0,9.653421,-0.0,-0.0010642251,-0.0021284502,5.0,2017-06-09 19:04:00,9.04332281247144
0.0,0.0,9.653421,-0.0,-0.006385351,-0.0,5.0,2017-06-09 19:04:01,33.38240205595455
0.0,0.0,9.653421,-0.0042569004,-0.0031926755,-0.0042569004,5.0,2017-06-09 19:04:02,53.0834500119552
