ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TIME,VOICE
-0.15322891,0.0,9.653421,-0.006385351,-0.005321126,-0.0042569004,0.0,2017-06-09 11:26:20,39.617311795579134
0.0,0.0,9.653421,-0.0010642251,-0.0010642251,-0.0042569004,0.0,2017-06-09 11:26:21,41.649877207250285
-0.15322891,0.0,9.653421,-0.0031926755,-0.0010642251,-0.0031926755,0.0,2017-06-09 11:26:22,38.06317931046014
0.0,0.0,9.653421,-0.0,-0.005321126,-0.0021284502,0.0,2017-06-09 11:26:23,13.82542323221768
-0.15322891,0.0,9.80665,0.0031926755,-0.0042569004,-0.0031926755,0.0,2017-06-09 11:26:24,40.0678121923187
0.0,0.0,9.80665,-0.0,-0.0031926755,-0.0010642251,0.0,2017-06-09 11:26:25,17.401323207264188
-0.15322891,0.0,9.653421,-0.0042569004,-0.0031926755,-0.0042569004,0.0,2017-06-09 11:26:26,14.4048270826178
-0.15322891,0.0,9.80665,-0.0021284502,-0.006385351,-0.0021284502,0.0,2017-06-09 11:26:27,14.730305386175079
-0.15322891,0.0,9.653421,-0.006385351,-0.0031926755,-0.0021284502,0.0,2017-06-09 11:26:28,29.408183192751324
-0.15322891,0.0,9.653421,0.007449576,-0.010642252,-0.0,0.0,2017-06-09 11:26:29,21.325531768284023
0.0,0.0,9.80665,0.0031926755,-0.008513801,-0.0021284502,0.0,2017-06-09 11:26:30,16.524478043283178
0.0,0.0,9.653421,-0.0,-0.005321126,0.0010642251,0.0,2017-06-09 11:26:31,20.253144008428784
0.0,0.0,9.80665,-0.0031926755,-0.009578027,0.0010642251,0.0,2017-06-09 11:26:32,12.327314741753838
0.0,0.0,9.653421,-0.0010642251,-0.005321126,-0.0031926755,0.0,2017-06-09 11:26:33,14.231092818671481
0.0,-0.15322891,9.653421,-0.0021284502,-0.005321126,-0.0031926755,0.0,2017-06-09 11:26:34,14.48448654823714
0.0,0.0,9.80665,-0.0010642251,-0.007449576,-0.0042569004,0.0,2017-06-09 11:26:35,15.455648121251402
-0.15322891,0.0,9.653421,-0.0021284502,-0.0021284502,-0.005321126,0.0,2017-06-09 11:26:36,43.50870981018311
-0.15322891,0.0,9.80665,-0.0010642251,-0.0010642251,-0.0031926755,0.0,2017-06-09 11:26:37,14.981669141382488
