ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TEMP_2,TIME,VOICE
-0.9516952,1.2797008,8.957906,-0.2638881,-0.8881669,0.83038294,277.06,25.1,-1.5040076,0.94885206,9.643994,0.55231243,0.33084875,-0.68608844,0.019979361,0.088823356,0.33361104,0.0,2016-12-29 19:22:44,-Infinity
2.3319526,2.3870192,8.258799,0.16009885,0.14714497,0.18587533,261.21,25.2,2.7410617,1.9286791,9.21603,-0.4091092,0.45834,-0.95723176,0.15742981,-0.07297615,0.49238324,0.0,2016-12-29 19:22:45,67.55190324397259
1.7429788,0.20590134,9.965864,-0.06253608,-0.09792523,-0.31374434,261.21,25.2,1.7440263,0.1213561,9.64953,-0.0010474633,0.08454525,0.3163339,0.050883304,-0.07363097,0.50798965,0.0,2016-12-29 19:22:46,73.5992037282073
2.5941176,-0.80564886,8.967483,-0.56214243,0.08633782,-0.63545924,261.21,25.2,2.6595092,-0.4635773,9.427618,-0.06539164,-0.34207156,-0.46013564,0.027416032,-0.13626401,0.3591229,0.0,2016-12-29 19:22:47,70.02405851418874
2.815581,-0.45130703,8.732851,-0.03163782,-0.06922275,0.07080546,389.97,25.3,2.873491,-0.3684078,9.36896,-0.057909753,-0.082899235,-0.6361095,0.013722571,-0.14875157,0.21526372,0.0,2016-12-29 19:22:48,72.7863333950984
3.3865983,0.533907,8.503007,-0.028438833,-0.23969887,-0.32760957,389.97,25.3,4.0780735,0.7858967,8.883685,-0.6914754,-0.25198972,-0.38067806,0.09638922,-0.19432865,0.2604252,0.0,2016-12-29 19:22:50,73.9041863552073
3.8247373,1.4173675,8.24563,-0.05719964,0.16508669,0.021794511,238.0,25.3,3.8509238,1.657835,8.86513,-0.026186582,-0.24046764,-0.6194997,0.13428643,-0.17311125,0.24443905,0.0,2016-12-29 19:22:51,71.33050962859075
2.6420016,2.4540567,8.461109,0.1952699,0.27159396,0.58105487,238.0,25.3,2.9215245,1.386991,9.257929,-0.27952304,1.0670657,-0.7968203,0.05000636,-0.15960342,-0.13719445,0.0,2016-12-29 19:22:52,69.07698828134252
2.268506,1.6986861,9.654618,-0.05826224,-0.1896738,-0.02188639,238.0,25.3,1.7215806,1.6005238,9.520693,0.5469254,0.09816227,0.13392566,0.10993877,-0.049910914,0.38260823,0.0,2016-12-29 19:22:53,73.60732755186206
3.643975,0.11611878,7.699753,0.010980746,0.23855399,0.19223043,303.09,25.3,3.8224926,0.25602993,9.027188,-0.17851767,-0.13991116,-1.3274353,0.085811906,-0.17991696,0.36177072,0.0,2016-12-29 19:22:54,74.22305064400389
2.657564,-0.073023155,6.9623384,-0.34588125,0.22894956,-0.009107744,303.09,25.3,2.7328317,-0.30256724,9.413253,-0.07526772,0.22954409,-2.4509144,0.06333027,-0.12666637,0.5373926,0.0,2016-12-29 19:22:55,74.93137925554291
2.0482395,-0.30047232,7.949947,-0.59408677,0.5133645,1.1743991,303.09,25.4,2.4075193,0.08903438,9.506028,-0.3592799,-0.3895067,-1.5560814,0.08085413,-0.09374013,0.6198963,0.0,2016-12-29 19:22:56,73.77288381873359
1.8375498,-1.2330139,9.02614,-0.11365253,0.028667064,0.16559349,303.09,25.4,1.6647184,-1.4172177,9.559748,0.17283143,0.1842039,-0.5336077,0.007946672,-0.11189492,0.69611436,0.0,2016-12-29 19:22:57,72.98611783801847
2.7222073,-0.9684546,8.552089,0.010983675,0.06594919,-0.049590457,303.09,25.4,2.7703907,-1.3422493,9.310901,-0.04818331,0.37379473,-0.7588123,0.058374155,-0.14787528,0.7266223,0.0,2016-12-29 19:22:58,68.35840329219434
2.4001873,-0.7026982,8.838196,0.022702916,0.03610927,-0.14653166,303.09,25.4,2.6120741,-1.0577883,9.392902,-0.21188685,0.35509005,-0.55470663,0.060448155,-0.13204935,0.719352,0.0,2016-12-29 19:22:59,73.30752790151334
2.1583729,0.075417355,8.583213,0.08981564,0.1074692,-0.21258044,303.09,25.4,2.6949732,-0.3636194,9.421932,-0.5366005,0.43903673,-0.8387188,0.076741226,-0.1171292,0.6484805,0.0,2016-12-29 19:23:00,73.1287612354331
2.5007436,0.14724341,8.728063,0.048270326,0.1703198,0.44468772,303.09,25.4,2.5360582,0.080056116,9.472659,-0.035314474,0.06718729,-0.7445967,0.082967505,-0.10071239,0.6059374,0.0,2016-12-29 19:23:01,72.72643676095073
2.1284454,-0.33877954,8.844181,-0.0667777,0.04674487,-0.2551918,303.09,25.4,2.355296,-0.42063132,9.510218,-0.22685061,0.08185177,-0.66603696,0.06686479,-0.103144675,0.67781144,0.0,2016-12-29 19:23:02,73.71553626379651
4.3287168,-0.1592144,7.7464395,-0.11151827,0.025433188,-0.47783315,303.09,25.4,4.509778,0.13452421,8.706964,-0.1810615,-0.29373863,-0.9605238,0.15196192,-0.18157595,0.60104555,0.0,2016-12-29 19:23:03,75.15557726621884
4.4580035,2.2301989,8.00621,-0.43748865,-0.115185976,0.12297519,303.09,25.4,4.2556934,1.873014,8.634089,0.20231004,0.35718498,-0.6278794,0.196454,-0.14554209,0.48058364,0.0,2016-12-29 19:23:04,71.60876918223477
6.137536,0.9804256,7.896077,0.101536214,0.039264847,-0.019772373,101.03,25.4,5.9904423,1.9627964,7.5119576,0.14709377,-0.9823709,0.38411975,0.27501288,-0.20336862,0.54401714,0.0,2016-12-29 19:23:05,73.61301843649072
5.3378725,2.372654,6.4284315,-0.15625697,0.20969863,-0.2765027,101.03,25.4,5.7499747,2.808249,7.4310036,-0.41210195,-0.43559507,-1.002572,0.2648469,-0.22577909,0.37414882,0.0,2016-12-29 19:23:07,73.02150467005059
5.8634,1.9560628,8.761581,0.062122494,0.14151958,-0.07303746,101.03,25.4,5.1695304,1.6605285,8.166173,0.6938696,0.29553428,0.595408,0.21177365,-0.1969501,0.46801323,0.0,2016-12-29 19:23:08,73.85295173232068
5.6084175,1.6364368,8.005013,0.30713385,-0.33465788,4.649879E-4,159.61,25.5,5.521029,1.2161049,8.012944,0.08738836,0.42033204,-0.007930793,0.1829111,-0.24081181,0.39976496,0.0,2016-12-29 19:23:09,68.10325452548034
5.0840874,1.447295,7.2867527,-0.0838182,0.020073043,0.17303729,87.73,25.5,5.850681,1.3640964,7.750929,-0.76659346,0.08319851,-0.46417585,0.21403874,-0.2428909,0.44800973,0.0,2016-12-29 19:23:10,70.25793429287891
5.5629277,0.79607207,7.1634517,-0.031619444,-0.037459757,0.068640046,87.73,25.5,5.91712,1.0160394,7.7539215,-0.35419223,-0.21996728,-0.59047,0.20851055,-0.24734072,0.4786489,0.0,2016-12-29 19:23:11,69.27020379539512
5.6670756,0.6464345,7.2101383,-0.08062161,-0.0044344296,-0.024037693,87.73,25.5,5.831228,0.6967127,7.85358,-0.16415246,-0.050278235,-0.6434417,0.18814066,-0.25332826,0.4713791,0.0,2016-12-29 19:23:12,70.15223298817284
3.9396589,1.6424223,8.010999,0.008861402,0.07545188,-0.37451103,246.21,25.5,4.447379,0.556203,8.722376,-0.5077204,1.0862194,-0.7113772,0.12595837,-0.19853152,0.4148351,0.0,2016-12-29 19:23:13,69.84451698929715
