ACC_X,ACC_Y,ACC_Z,TIME,VOICE
8.462306,-0.2825158,4.3957543,2017-05-04 11:18:42,72.76041729223101
8.467094,-0.2693477,4.4101195,2017-05-04 11:18:43,55.03754956952531
8.475474,-0.272939,4.3861775,2017-05-04 11:18:44,50.95951281938804
8.467094,-0.2861071,4.390966,2017-05-04 11:18:45,35.87056083994376
8.470686,-0.2789245,4.3861775,2017-05-04 11:18:46,50.232871014700606
8.474277,-0.2693477,4.390966,2017-05-04 11:18:47,49.37489258855716
8.463503,-0.2717419,4.4077253,2017-05-04 11:18:48,47.48345115284952
8.467094,-0.2789245,4.39336,2017-05-04 11:18:49,55.62354490486645
8.469488,-0.2705448,4.4161053,2017-05-04 11:18:50,52.41285777426122
8.463503,-0.2681506,4.38498,2017-05-04 11:18:51,37.171158411063956
8.447941,-0.25498247,4.368221,2017-05-04 11:18:52,53.32828833828215
8.479065,-0.2789245,4.3957543,2017-05-04 11:18:53,56.72410855847574
8.456321,-0.2633622,4.39336,2017-05-04 11:18:54,52.03546946782585
8.465898,-0.2885013,4.392163,2017-05-04 11:18:55,53.73336107055796
8.457518,-0.2693477,4.3981485,2017-05-04 11:18:56,54.77402785325002
8.459911,-0.25857377,4.39336,2017-05-04 11:18:57,59.65099727779831
8.471883,-0.25857377,4.3837833,2017-05-04 11:18:58,56.11727170450259
8.476671,-0.2741361,4.39336,2017-05-04 11:18:59,46.585137362634406
8.456321,-0.28491,4.423288,2017-05-04 11:19:00,55.924352127314314
8.453926,-0.2765303,4.3981485,2017-05-04 11:19:01,48.04368514231606
8.474277,-0.2693477,4.39336,2017-05-04 11:19:02,43.92074957051469
8.463503,-0.2801216,4.3957543,2017-05-04 11:19:03,49.327133913128954
8.462306,-0.2621651,4.406528,2017-05-04 11:19:05,33.71258979088221
8.462306,-0.2765303,4.4017396,2017-05-04 11:19:06,63.819254656005846
8.461109,-0.2765303,4.404134,2017-05-04 11:19:07,67.01648408429004
8.474277,-0.2777274,4.4077253,2017-05-04 11:19:08,51.43342223492422
8.461109,-0.2825158,4.3981485,2017-05-04 11:19:09,59.78661879969892
8.459911,-0.2837129,4.3873744,2017-05-04 11:19:10,51.73108483750099
8.456321,-0.2837129,4.4101195,2017-05-04 11:19:11,47.34947243744884
8.471883,-0.25737667,4.4184995,2017-05-04 11:19:12,47.79748661545746
8.4587145,-0.2765303,4.4005427,2017-05-04 11:19:13,40.75168613731424
8.469488,-0.2633622,4.3777976,2017-05-04 11:19:14,68.51760230723157
8.47308,-0.2825158,4.402937,2017-05-04 11:19:15,75.20959303459591
8.48984,-0.24899697,4.402937,2017-05-04 11:19:16,48.51963752560907
8.469488,-0.2633622,4.4005427,2017-05-04 11:19:17,30.127238927909488
8.451532,-0.2789245,4.3873744,2017-05-04 11:19:18,26.723432342884355
8.449138,-0.2801216,4.406528,2017-05-04 11:19:19,50.49944119435431
8.463503,-0.2753332,4.3766007,2017-05-04 11:19:20,42.766275053070544
8.483853,-0.2825158,4.4077253,2017-05-04 11:19:21,40.77478849717935
8.453926,-0.2813187,4.3981485,2017-05-04 11:19:22,44.33551382055673
8.461109,-0.2741361,4.4005427,2017-05-04 11:19:23,77.05673172491122
8.450335,-0.2861071,4.3873744,2017-05-04 11:19:24,48.45592621340472
8.463503,-0.2705448,4.4005427,2017-05-04 11:19:25,32.424265039417996
8.483853,-0.260968,4.394557,2017-05-04 11:19:26,50.06576941657842
8.449138,-0.2885013,4.413711,2017-05-04 11:19:27,45.05610493376126
8.455123,-0.25498247,4.3897686,2017-05-04 11:19:28,57.35964670161227
8.453926,-0.2669535,4.4005427,2017-05-04 11:19:29,39.75889414829346
8.463503,-0.2801216,4.425682,2017-05-04 11:19:30,40.40020146744153
8.459911,-0.2873042,4.4005427,2017-05-04 11:19:31,75.9298515178961
8.479065,-0.25737667,4.417302,2017-05-04 11:19:32,55.66496662260444
8.465898,-0.2657564,4.413711,2017-05-04 11:19:33,37.36109534068475
8.470686,-0.2657564,4.3993454,2017-05-04 11:19:34,30.68768937370337
8.456321,-0.2741361,4.396951,2017-05-04 11:19:35,58.02130497630511
8.443152,-0.2705448,4.4005427,2017-05-04 11:19:36,31.933698637085016
8.47308,-0.272939,4.3885717,2017-05-04 11:19:37,30.374974634308963
8.463503,-0.2717419,4.3873744,2017-05-04 11:19:38,34.61145725597811
8.461109,-0.2705448,4.4077253,2017-05-04 11:19:39,75.36294484366908
8.468291,-0.272939,4.4077253,2017-05-04 11:19:40,62.858393976830655
8.469488,-0.2681506,4.404134,2017-05-04 11:19:41,50.14972487968972
8.450335,-0.2813187,4.4113164,2017-05-04 11:19:43,34.727468530578676
8.470686,-0.2825158,4.3957543,2017-05-04 11:19:44,44.461995392741315
8.456321,-0.2873042,4.3873744,2017-05-04 11:19:45,40.76289462564948
8.4587145,-0.2765303,4.404134,2017-05-04 11:19:46,37.24596606669648
8.455123,-0.2693477,4.4220905,2017-05-04 11:19:47,36.295032528667086
8.459911,-0.25258827,4.414908,2017-05-04 11:19:48,75.48139781486906
8.4826565,-0.2801216,4.414908,2017-05-04 11:19:49,66.13389451526932
8.476671,-0.2741361,4.425682,2017-05-04 11:19:50,40.49025067754256
8.457518,-0.25977087,4.392163,2017-05-04 11:19:51,21.60036873466606
8.459911,-0.2753332,4.414908,2017-05-04 11:19:52,40.07734312743289
8.463503,-0.2813187,4.4161053,2017-05-04 11:19:53,46.929900454941524
8.462306,-0.2657564,4.3981485,2017-05-04 11:19:54,26.69293630774522
8.450335,-0.2813187,4.3861775,2017-05-04 11:19:55,32.673550910748965
8.475474,-0.30047232,4.4017396,2017-05-04 11:19:56,75.72999176044763
8.42759,-0.24301147,4.39336,2017-05-04 11:19:57,65.86052312792006
8.485051,-0.2837129,4.404134,2017-05-04 11:19:58,33.42694030085581
8.461109,-0.2633622,4.4017396,2017-05-04 11:19:59,44.09305308574101
8.4587145,-0.2753332,4.3957543,2017-05-04 11:20:00,31.094150651752592
8.474277,-0.2873042,4.404134,2017-05-04 11:20:01,27.16290342491835
8.4587145,-0.2741361,4.4005427,2017-05-04 11:20:02,39.542245642618624
8.437167,-0.25737667,4.4184995,2017-05-04 11:20:03,39.93323370916813
8.461109,-0.2765303,4.3993454,2017-05-04 11:20:04,75.11147246292963
8.485051,-0.260968,4.405331,2017-05-04 11:20:05,59.79541361178531
