ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TEMP_2,TIME,VOICE
1.8375498,2.0015526,3.9456444,-0.36068124,-0.36366904,-1.0501355,20.09,27.2,3.7361517,0.2781763,9.062652,-1.8986019,1.7233763,-5.1170077,-0.0112788305,-0.19442463,-0.12938319,0.0,2016-12-29 19:01:30,69.72208113116557
2.4313118,1.9512744,3.229778,-0.4192689,-0.5277411,-1.0458782,20.09,27.2,3.8031895,0.5324106,9.023297,-1.3718776,1.4188638,-5.793519,-0.005097068,-0.19976883,-0.16057578,0.0,2016-12-29 19:01:31,65.7764803929322
2.8107927,1.2389994,2.9376855,-0.37772253,-0.3956568,-0.57503295,20.09,27.2,3.403657,0.5729624,9.17907,-0.5928642,0.66603696,-6.2413845,0.014820504,-0.178253,-0.08239296,0.0,2016-12-29 19:01:32,66.3808735567396
3.3207579,1.2665327,3.0418332,-0.4139415,-0.4723558,-0.7252352,10.47,27.1,3.7998974,0.6298247,9.018509,-0.47913963,0.636708,-5.9766755,0.036415797,-0.1971232,0.018030487,0.0,2016-12-29 19:01:33,73.78562625240752
2.6767175,0.89782566,4.253299,-0.08157875,-0.46490324,-0.6677115,10.47,27.1,3.9401078,0.23388357,8.977209,-1.2633903,0.66394204,-4.7239094,0.013940202,-0.20516738,0.008343187,0.0,2016-12-29 19:01:34,73.51602143742528
2.7605145,0.8391677,3.940856,-0.19982469,-0.4009703,-0.34280288,10.47,27.0,3.4059017,0.3242647,9.190442,-0.645387,0.514903,-5.2495866,0.0044823093,-0.17719036,-0.068484634,0.0,2016-12-29 19:01:35,70.68971089616151
3.642778,2.420538,7.4268136,0.020682909,-0.051540155,0.28996843,4.25,27.0,3.3602622,1.635988,9.066393,0.2825158,0.78454995,-1.6395793,0.13819051,-0.1365292,0.3256317,0.0,2016-12-29 19:01:36,75.90422515379585
0.79008657,1.2725182,8.400057,-0.84964025,-0.65232587,-1.642417,7.08,27.0,2.9058127,0.8607155,9.326463,-2.1157262,0.41180268,-0.92640644,0.046883814,-0.1492607,0.016161453,0.0,2016-12-29 19:01:37,73.3393945853946
1.459266,2.112883,5.093664,-0.6621561,-1.0017071,-0.5878007,7.08,26.9,2.7714381,1.2687773,9.320777,-1.3121722,0.8441057,-4.227113,0.069114365,-0.14138903,0.025001252,0.0,2016-12-29 19:01:38,66.16681857512742
2.0446482,1.5227122,2.9017725,-0.16787688,-0.6021948,-0.9617016,13.3,26.9,3.1760583,1.277157,9.189694,-1.1314099,0.24555531,-6.287922,0.043350924,-0.1719742,-0.13283843,0.0,2016-12-29 19:01:39,69.7398025395776
2.0925324,1.6962919,4.948815,-0.3223434,-0.95050216,-1.0085671,21.51,26.8,2.7949312,1.1242273,9.332299,-0.7023989,0.5720646,-4.383484,0.036701493,-0.15109996,-0.14191996,0.0,2016-12-29 19:01:40,72.59576476542689
3.1651347,1.460463,6.242881,-0.09118264,-0.85780495,-1.0085636,21.51,26.8,4.4529157,0.9549872,8.684967,-1.2877812,0.5054758,-2.4420857,-0.0028453022,-0.239122,-0.21491304,0.0,2016-12-29 19:01:41,75.87988735979634
4.6351743,1.1911154,4.807557,0.5202762,-0.049239453,-0.032776058,21.51,26.7,4.206463,0.6259341,8.8364,0.42871174,0.56518126,-4.028843,-0.024215277,-0.22108272,-0.24766612,0.0,2016-12-29 19:01:42,73.26320018437814
3.751714,0.59017074,5.753267,0.5010983,-0.18023102,-0.30547708,10.75,26.7,3.6335003,-0.0013467384,9.108591,0.118213706,0.59151745,-3.355324,-0.055887043,-0.1801757,-0.290598,0.0,2016-12-29 19:01:43,67.45751841640919
3.478775,2.208651,6.8246717,0.7205395,0.0893171,0.11104769,13.87,26.6,3.4742858,1.3925276,9.064148,0.004489128,0.8161235,-2.2394764,-1.7097965E-4,-0.19455971,-0.36572778,0.0,2016-12-29 19:01:44,70.0639065283756
2.2014685,0.8595184,6.885724,0.021722073,0.17990692,-0.46525264,13.87,26.6,3.104681,0.18435353,9.300277,-0.9032126,0.6751649,-2.4145525,-0.059562806,-0.14921282,-0.41964316,0.0,2016-12-29 19:01:46,72.05839535461732
4.5154643,0.035913024,9.55047,-0.469368,-0.12152883,-0.21277885,9.91,26.6,3.3236008,0.51116204,9.21199,1.1918635,-0.47524905,0.33848026,-0.026811767,-0.17203775,-0.29780892,0.0,2016-12-29 19:01:47,67.94823184116575
3.0238767,0.16879122,6.9132576,-0.008110657,0.44308475,0.5211926,9.91,26.5,3.1301196,1.18917,9.217228,-0.1062427,-1.0203788,-2.3039703,0.039447326,-0.16880277,-0.13111171,0.0,2016-12-29 19:01:48,71.36823755806932
2.4779987,0.24779987,8.856153,0.050475158,-0.0969641,-0.097718835,0.28,26.5,2.6387095,-0.009127894,9.444826,-0.16071078,0.25692776,-0.58867437,-0.013734955,-0.13509902,-0.0968163,0.0,2016-12-29 19:01:49,73.5531189604352
1.804031,0.18674773,13.338098,0.53303915,-0.6093456,0.12918435,0.28,26.5,2.6828527,-0.16639702,9.43091,-0.8788217,0.35314476,3.9071875,-0.02684521,-0.13575482,-0.13164282,0.0,2016-12-29 19:01:50,68.93334053826936
4.7405195,0.985214,13.478158,0.016382702,-0.20451106,-0.47907552,0.28,26.4,3.1087213,0.83856916,9.262867,1.6317981,0.14664486,4.2152915,0.03490781,-0.16279256,-0.051520493,0.0,2016-12-29 19:01:51,71.39401628904508
4.8865657,-0.005985504,13.492524,-0.042209506,-0.5570859,-0.5877274,0.57,26.4,3.2582092,1.2490251,9.164705,1.6283565,-1.2550106,4.327819,0.07251665,-0.16572548,0.045616362,0.0,2016-12-29 19:01:52,71.88550336996674
3.6379895,-2.4145525,10.523713,-0.25633004,-0.46544573,-0.6921183,0.57,26.4,3.089418,-1.1390414,9.237279,0.54857147,-1.2755109,1.2864345,-0.05245111,-0.1621013,0.039678045,0.0,2016-12-29 19:01:53,75.73243073675673
2.753332,-4.2281604,12.691663,-0.66859084,0.15457653,-0.9893201,0.57,26.3,2.7775733,-0.98581254,9.353249,-0.024241293,-3.2423477,3.338415,-0.036254827,-0.14765434,0.098928206,0.0,2016-12-29 19:01:54,71.69747329814822
2.9352913,-4.7548847,17.492037,-1.4920435,-0.6933399,-2.7395434,0.57,26.3,2.992752,-1.3934253,9.234137,-0.05746084,-3.3614593,8.257901,-0.07292219,-0.15448545,-0.005251578,0.0,2016-12-29 19:01:55,71.54086713602838
1.2282255,-0.17238252,5.4049106,-0.31066707,-0.291716,-1.7509747,0.57,26.3,3.367295,-0.75477207,9.179369,-2.1390696,0.5823896,-3.774459,-0.0785715,-0.16064873,-0.22851036,0.0,2016-12-29 19:01:56,69.7751377179893
