ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.826,-1.833,9.685,-0.0025313082,-0.004662936,-5.32907E-4,30.0,-0.011351585,-0.217834,-0.041891098,-0.047898963,-0.05985612,0.4389656,2017-06-10 06:19:05,47.827867690608805
0.811,-1.878,9.698,-1.3322676E-4,-0.008260058,6.6613377E-4,30.0,-0.029720366,-0.20040977,-0.05018139,-0.045722615,-0.058549874,0.43925002,2017-06-10 06:19:06,23.94111228767148
0.804,-1.856,9.664,-0.0025313082,-0.004662936,-5.32907E-4,30.0,0.010566473,-0.1885227,-0.036486626,-0.048484296,-0.059408884,0.4395472,2017-06-10 06:19:07,53.86259457901272
0.791,-1.856,9.645,-0.0013322675,-0.010791367,-5.32907E-4,30.0,0.009761095,-0.2006495,-0.0049085617,-0.046930972,-0.058547135,0.4397266,2017-06-10 06:19:08,52.33755788312402
0.808,-1.839,9.679,-0.0025313082,-0.0070610177,-5.32907E-4,30.0,-0.010989547,-0.16760683,-0.038321495,-0.048346337,-0.0590012,0.43985665,2017-06-10 06:19:09,31.013533134369553
0.811,-1.849,9.705,-0.0025313082,-0.008260058,6.6613377E-4,30.0,0.0034561753,-0.19045615,-0.04232502,-0.04959671,-0.059500653,0.44000155,2017-06-10 06:19:10,54.78190098221593
0.829,-1.861,9.7,-0.0025313082,-0.008260058,-5.32907E-4,10.0,-0.011507511,-0.22331929,-0.09551048,-0.048068028,-0.058748785,0.44010267,2017-06-10 06:19:11,53.28169414202922
0.823,-1.851,9.686,-0.0025313082,-0.0070610177,-0.0017319478,30.0,0.008244634,-0.23256648,-0.070651054,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:12,51.5755708927697
0.816,-1.856,9.681,-0.0038635759,-0.0070610177,-5.32907E-4,10.0,-0.0019307137,-0.23735487,-0.07184887,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:13,43.48583491840469
0.817,-1.854,9.686,-0.0025313082,-0.0070610177,-5.32907E-4,30.0,0.0058504343,-0.23136938,-0.07124996,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:14,26.408578342111557
0.822,-1.851,9.682,-0.0038635759,-0.0070610177,6.6613377E-4,10.0,0.0088431835,-0.23555923,-0.062870026,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:15,57.86396450275245
0.817,-1.855,9.697,-0.0025313082,-0.0070610177,6.6613377E-4,10.0,-0.011507511,-0.22717953,-0.0503006,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:16,47.52963220848442
0.809,-1.856,9.7,-0.0038635759,-0.008260058,0.0019984012,10.0,0.0016605854,-0.22897518,-0.056884766,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:17,60.22625869137055
0.815,-1.845,9.697,-0.0013322675,-0.005861977,-5.32907E-4,10.0,-0.0019307137,-0.22897518,-0.05927849,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:19,27.52199301716914
0.808,-1.85,9.685,-0.0038635759,-0.0070610177,6.6613377E-4,10.0,0.0010620356,-0.21879983,-0.053892136,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:20,31.895950277707705
0.811,-1.85,9.702,-0.0025313082,-0.008260058,-0.0017319478,10.0,-0.008514762,-0.22897518,-0.057483673,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:21,50.94724797204102
0.819,-1.844,9.703,-0.0038635759,-0.0070610177,6.6613377E-4,10.0,4.6348572E-4,-0.21820128,-0.05449009,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:22,24.836694659655947
0.821,-1.854,9.698,-0.0025313082,-0.008260058,6.6613377E-4,10.0,-0.004923463,-0.22358823,-0.058680534,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:23,41.22369141046096
0.816,-1.854,9.696,-0.0025313082,-0.008260058,-0.0017319478,10.0,-0.0031278133,-0.23615777,-0.059877396,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:24,51.28005669451034
0.815,-1.848,9.703,-0.0025313082,-0.0070610177,-5.32907E-4,10.0,-0.004324913,-0.23496068,-0.05329323,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:25,23.91300451476988
0.817,-1.852,9.691,-0.0025313082,-0.0094591,-0.0017319478,10.0,0.004054785,-0.22119403,-0.06825733,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:26,39.427549688263504
0.815,-1.849,9.694,-0.0025313082,-0.008260058,-5.32907E-4,10.0,-0.0019307137,-0.22837663,-0.05449009,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:27,58.60511208377244
0.811,-1.846,9.687,-0.0013322675,-0.0070610177,-5.32907E-4,10.0,-0.0013321638,-0.23256648,-0.061074257,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:28,56.88511151973431
0.814,-1.843,9.692,-0.0025313082,-0.0070610177,6.6613377E-4,10.0,-0.0037263632,-0.23256648,-0.064665794,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:29,55.50688841855943
0.815,-1.856,9.687,-0.0050626164,-0.0070610177,-0.0017319478,10.0,0.003456235,-0.23436213,-0.060476303,-0.04797278,-0.058701936,0.44010893,2017-06-10 06:19:30,30.27692349135315
