ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
1.822586,1.1378443,9.720459,0.048563786,-0.04428773,-0.021991149,25.0,1.7502291,1.1742145,9.57749,0.054998994,-0.023800611,0.19624043,-0.032978423,-0.10260544,-0.77936333,0.0,0.0,2017-05-26 14:26:49,59.95328196563405
1.939902,0.7457938,9.484032,-0.12950343,-0.16523905,0.013744468,28.0,2.0040848,1.1152908,9.534681,0.15548515,-0.39523458,-0.05902958,-0.04510196,-0.1083434,-0.78436565,46.101948,28.160456,2017-05-26 14:26:50,75.64615047771302
2.517503,1.1827357,9.767146,0.0018325958,-0.03359759,-0.008246681,19.0,2.4208784,1.4341323,9.394307,0.22471452,-0.24660826,0.38062,-0.053447247,-0.13463007,-0.7831221,46.101948,28.160456,2017-05-26 14:26:51,75.89578277014304
2.486977,1.3521254,9.81084,-0.00580322,-0.024740042,-0.17592919,16.0,2.4492593,1.6474272,9.3518715,-0.026327133,-0.34019303,0.4140768,-0.050341394,-0.14363427,-0.791201,45.57772,28.145908,2017-05-26 14:26:52,71.63641993275071
0.46387658,-0.99898064,10.08318,0.453262,0.01160644,-0.24556783,41.0,0.8406761,-1.8103225,9.601375,-0.46239227,0.8622187,0.80681896,-0.051936727,0.090540625,-0.9898919,45.57772,28.145908,2017-05-26 14:26:53,71.87681556059736
0.011372458,-0.16160862,10.064626,0.02107485,3.0543262E-4,-0.014966198,45.0,0.028164966,-0.14586739,9.805525,-3.309548E-5,-0.0073615164,0.26688194,0.0010711626,-0.0075929305,0.9986256,45.186367,28.07766,2017-05-26 14:26:54,72.65350650690311
0.025737667,-0.14604631,10.061034,0.02443461,0.0027488936,-0.013439035,51.0,0.013295986,-0.10881615,9.806038,0.0064561777,-0.039624363,0.24661636,3.403147E-4,-0.0056888075,0.9977729,45.186367,28.07766,2017-05-26 14:26:55,71.01229207644587
0.02813187,-0.16879122,10.068216,0.01985312,3.0543262E-4,-0.01863139,55.0,-0.00767567,-0.032048408,9.806595,0.037004642,-0.13853846,0.24486256,-5.345283E-4,-0.001660449,0.9949567,45.186367,28.07766,2017-05-26 14:26:56,73.38862874125043
0.039504327,-0.15622166,10.049662,0.025350908,-0.0036651916,-0.018936822,56.0,-0.012464569,0.009591767,9.806638,0.036406584,-0.17898154,0.25379753,-5.8395014E-4,4.7142978E-4,0.9940075,44.636078,28.099785,2017-05-26 14:26:57,73.55162275062747
0.02813187,-0.16220717,10.061633,0.021991149,0.00580322,-0.014049901,58.0,-0.0201765,-0.008062987,9.806626,0.054293875,-0.13678621,0.25141525,-9.926326E-4,-4.3912212E-4,0.9997221,44.636078,28.099785,2017-05-26 14:26:58,69.86070760277232
0.022744916,-0.15263036,10.061633,0.02565634,-0.0027488936,-0.018936822,56.0,-0.015531542,-0.010834454,9.806632,0.039473556,-0.1370075,0.247818,-8.118837E-4,-5.797843E-4,0.999455,44.636078,28.099785,2017-05-26 14:26:59,73.86288792021001
0.031124622,-0.16579847,10.031705,0.025961773,-0.002443461,-0.016187929,59.0,-0.0052338922,-0.042477425,9.806557,0.033964314,-0.11793408,0.24729443,-4.4786243E-4,-0.0021779954,0.99668914,44.25913,28.099785,2017-05-26 14:27:00,76.9151108396415
